lat,lon,k12,fire_station
51.56275193,-0.11942374,6.0,1.0
51.56062902,-0.09931335,2.0,1.0
51.53291053,-0.10911932,11.0,2.0
51.52389449,-0.16427233,10.0,11.0
51.52388339,-0.22193486,8.0,10.0
51.5207669,-0.13701038,0.0,2.0
51.5288093,-0.13379851,7.0,2.0
51.52171131,-0.13985479,4.0,2.0
51.51762611,-0.16596587,10.0,11.0
51.51853172,-0.10971515,11.0,0.0
51.55012437,-0.11705972,2.0,1.0
51.51167095,-0.18782274,10.0,11.0
51.55323393,-0.1428961,6.0,6.0
51.5673238,-0.18128131,1.0,3.0
51.51327857,-0.11858008,0.0,0.0
51.51146997,-0.17486023,10.0,11.0
51.5497046,-0.09111413,11.0,4.0
51.52773624,-0.1799762,10.0,11.0
51.5140313,-0.16611033,10.0,11.0
51.54406404,-0.13173201,7.0,6.0
51.5462716,-0.15760234,3.0,6.0
51.49250735,-0.16985581,5.0,5.0
51.49742383,-0.13940359,9.0,7.0
51.49774188,-0.15956092,9.0,5.0
51.54348486,-0.15194623,3.0,6.0
51.50705702,-0.12315962,0.0,0.0
51.51076677,-0.13021283,0.0,0.0
51.54920256,-0.11565543,2.0,1.0
51.55530717,-0.10386266,2.0,4.0
51.51596351,-0.17468054,10.0,11.0
51.52053725,-0.12260519,0.0,0.0
51.52543955,-0.20601665,8.0,10.0
51.49870828,-0.16384427,5.0,5.0
51.54830389,-0.11569256,2.0,1.0
51.51058254,-0.11869121,0.0,0.0
51.50009864,-0.19548606,5.0,8.0
51.50989576,-0.18933432,10.0,8.0
51.49740099,-0.13796379,9.0,7.0
51.4947734,-0.14239285,9.0,7.0
51.52597543,-0.12526467,0.0,2.0
51.5216427,-0.13553312,0.0,2.0
51.53132145,-0.12216138,7.0,2.0
51.55963853,-0.14984864,3.0,6.0
51.49475058,-0.14095313,9.0,7.0
51.51838936,-0.15728688,4.0,11.0
51.5145218,-0.14014786,4.0,0.0
51.51620476,-0.13287267,0.0,0.0
51.52703484,-0.13531276,7.0,2.0
51.52705772,-0.13675349,7.0,2.0
51.51470393,-0.15167061,4.0,0.0
51.51505283,-0.11706566,0.0,0.0
51.50735509,-0.14188091,4.0,0.0
51.54692048,-0.19940224,1.0,3.0
51.48884506,-0.16568114,5.0,5.0
51.5160899,-0.12567078,0.0,0.0
51.54781919,-0.19936674,1.0,3.0
51.50894642,-0.1288463,0.0,0.0
51.52081262,-0.13989143,4.0,2.0
51.49571767,-0.14523579,9.0,5.0
51.51472662,-0.15311096,4.0,0.0
51.55994009,-0.11232623,2.0,1.0
51.51389587,-0.15746831,4.0,0.0
51.51872679,-0.17889419,10.0,11.0
51.51065175,-0.1230118,0.0,0.0
51.4912242,-0.14541821,9.0,7.0
51.56904252,-0.11916429,6.0,1.0
51.56994118,-0.11912722,6.0,1.0
51.53659799,-0.11473431,2.0,4.0
51.55754429,-0.13117945,6.0,6.0
51.50998264,-0.13745058,0.0,0.0
51.52289717,-0.21620724,8.0,10.0
51.52072111,-0.13412933,0.0,0.0
51.50797874,-0.12456278,0.0,0.0
51.53606749,-0.13782737,7.0,2.0
51.54428928,-0.08989856,11.0,4.0
51.52357714,-0.14410339,4.0,2.0
51.49935456,-0.20560091,8.0,8.0
51.51618183,-0.13143229,0.0,0.0
51.52131088,-0.17158367,10.0,11.0
51.49735814,-0.19271292,5.0,8.0
51.51242606,-0.12149763,0.0,0.0
51.57362816,-0.12474754,6.0,1.0
51.51461301,-0.14590922,4.0,0.0
51.54671416,-0.12873885,7.0,6.0
51.52823079,-0.09777965,11.0,9.0
51.52950102,-0.12079458,7.0,2.0
51.49751506,-0.14516279,9.0,5.0
51.53982191,-0.1477685,3.0,6.0
51.51074379,-0.12877262,0.0,0.0
51.54858486,-0.19068252,1.0,3.0
51.51872679,-0.17889419,10.0,11.0
51.51072081,-0.12733241,0.0,0.0
51.55539399,-0.16588898,3.0,6.0
51.51168839,-0.13161626,0.0,0.0
51.56155104,-0.10071768,2.0,1.0
51.54362469,-0.10434839,2.0,4.0
51.51519123,-0.12570769,0.0,0.0
